3,False,aliquid amet impedit consequatur aspernatur placeat eaque fugiat suscipit
3,False,rerum perferendis error quia ut eveniet
3,True,tempore ut sint quis recusandae
3,True,cum debitis quis accusamus doloremque ipsa natus sapiente omnis
3,False,velit soluta adipisci molestias reiciendis harum
3,False,vel voluptatem repellat nihil placeat corporis
3,False,nam qui rerum fugiat accusamus
3,False,sit reprehenderit omnis quia
3,False,ut necessitatibus aut maiores debitis officia blanditiis velit et
3,True,cupiditate necessitatibus ullam aut quis dolor voluptate
3,False,distinctio exercitationem ab doloribus
3,False,nesciunt dolorum quis recusandae ad pariatur ratione
3,False,qui labore est occaecati recusandae aliquid quam
3,True,quis et est ut voluptate quam dolor
3,True,voluptatum omnis minima qui occaecati provident nulla voluptatem ratione
3,True,deleniti ea temporibus enim
3,False,pariatur et magnam ea doloribus similique voluptatem rerum quia
3,False,est dicta totam qui explicabo doloribus qui dignissimos
3,False,perspiciatis velit id laborum placeat iusto et aliquam odio
3,True,et sequi qui architecto ut adipisci
